RegionID,State,Abbreviation,Country
1,Alabama,AL,USA
2,Alaska,AK,USA
3,Arizona,AZ,USA
4,Arkansas,AR,USA
5,California,CA,USA
6,Colorado,CO,USA
7,Connecticut,CT,USA
8,Delaware,DE,USA
9,District of Columbia,DC,USA
10,Florida,FL,USA
11,Georgia,GA,USA
12,Hawaii,HI,USA
13,Idaho,ID,USA
14,Illinois,IL,USA
15,Indiana,IN,USA
16,Iowa,IA,USA
17,Kansas,KS,USA
18,Kentucky,KY,USA
19,Louisiana,LA,USA
20,Maine,ME,USA
21,Montana,MT,USA
22,Nebraska,NE,USA
23,Nevada,NV,USA
24,New Hampshire,NH,USA
25,New Jersey,NJ,USA
26,New Mexico,NM,USA
27,New York,NY,USA
28,North Carolina,NC,USA
29,North Dakota,ND,USA
30,Ohio,OH,USA
31,Oklahoma,OK,USA
32,Oregon,OR,USA
33,Maryland,MD,USA
34,Massachusetts,MA,USA
35,Michigan,MI,USA
36,Minnesota,MN,USA
37,Mississippi,MS,USA
38,Missouri,MO,USA
39,Pennsylvania,PA,USA
40,Rhode Island,RI,USA
41,South Carolina,SC,USA
42,South Dakota,SD,USA
43,Tennessee,TN,USA
44,Texas,TX,USA
45,Utah,UT,USA
46,Vermont,VT,USA
47,Virginia,VA,USA
48,Washington,WA,USA
49,West Virginia,WV,USA
50,Wisconsin,WI,USA
51,Wyoming,WY,USA
